Artist,Born,Died,Movement(s),Descriptors,Sex,Nationality
Bill Viola,1951,,Contemporary Art,"Video Art, Filmmaker",Male,
Bob and Roberta Smith,1958,,Contemporary Art,,"Male, Female",
Bob Schnepf,,,,"Graphic Designer, Printmaker",Male,American
Bodys Isek Kingelez,1948,,Contemporary Art,Sculptor,Male,
Bohuslav Reynek,1892,1971,Modern Art,Painter,Male,Czech
Bojan Sarcevic,1974,,Contemporary Art,Sculptor,Male,
Bonnie Maclean,,,,"Graphic Designer, Printmaker",Female,American
Boris Mikhailov,1938,,Contemporary Art,Photographer,Male,
Bracha Ettinger,1948,,Contemporary Art,Painter,Female,
Braco Dimitrijevic,1948,,Contemporary Art,Conceptual Art,Male,
Bradley Walker Tomlin,1899,1953,"Modern Art, Abstract Expressionism",Painter,Male,American
Brian O'Doherty,1928,,Modern Art,,Male,Irish
Brice Marden,1938,,"Modern Art, Minimalism",Painter,Male,American
Bridget Riley,1931,,"Modern Art, Op Art",Painter,Female,British
"Brother Thomas, Brother Thomas Bezanson",1929,2007,,Ceramicist,Male,Canadian
Bruce Munro,1959,,Contemporary Art,Installation Art,Male,
Bruce Nauman,1941,,Modern Art,"Performance Art, Sculptor, Video Art, Photography",Male,American
Bruce Onobrakpeya,1932,,Contemporary Art,"Printmaker, Painter, Sculptor",Male,
Bruno Fonseca,1958,1994,Contemporary Art,"Painter, Sculptor",Male,
Bryson Burroughs,,,,,Male,American
Bumpei Usui,,,,,,
Burgoyne Diller,1906,1965,"Modern Art, Geometric Abstraction",Painter,Male,American
Caio Fonseca,1959,,Contemporary Art,Painter,Male,
Candice Breitz,1972,,Contemporary Art,Video Art,Female,
Candida Hofer,1944,,Contemporary Art,Photographer,Female,
Carl Andre,1935,,Contemporary Art,Sculptor,Male,
Carl Michael von Hausswolff,1956,,Contemporary Art,Sound Art,Male,
Carlo Carra,1881,1966,"Modern Art, Futurism, Metaphysical Art",Painter,Male,Italian
Carlo Scarpa,1906,1978,,Architect,Male,Italian
Carlos Catasse,1945,2010,Modern Art,Painter,Male,Chilean
Carlos Merida,1891,1985,"Modern Art, Cubism","Painter, Printmaker",Male,Guatemalan
Carolee Schneemann,1939,,Contemporary Art,Performance Art,Female,
Carrie Mae Weems,1953,,Contemporary Art,Photographer,Female,
Cecilia Beaux,1855,1942,,Painter,Female,American
Cephas Giovanni Thompson,,,,Painter,Male,American
Cephas Thompson,1775,1856,,Painter,Male,American
Chaim Gross,1904,1991,Modern Art,Sculptor,Male,American
Chaim Soutine,1893,1943,"Modern Art, Expressionism",Painter,Male,Russian
Chantal Akerman,1950,2015,Contemporary Art,"Filmmaker, Video Art",Female,
Chantal Joffe,1969,,Contemporary Art,Painter,Female,
Charles Albert Lopez,,,,,Male,American
Charles C. Hofmann,,,,,Male,American
Charles Caryl Coleman,1840,1928,,Painter,Male,American
Charles Caverley,,,,,Male,American
Charles Conder,1868,1909,Modern Art,"Painter, Printmaker",Male,Australian
Charles Courtney Curran,1861,1942,,Painter,Male,American
Charles Cromwell Ingham,1796,1863,,Painter,Male,American
Charles Demuth,1883,1935,"Modern Art, Precisionism",Painter,Male,American
Charles Eames,1907,1978,,"Industrial Designer, Filmmaker",Male,American
Charles Ethan Porter,1847,1923,,Painter,Male,American
Charles Fergus Binns,1857,1935,,Potter,Male,British
"Charles Frederick Ulrich, Charles Frederic Ulrich",1858,1908,,Painter,Male,American
"Charles Grafly, Charles Allan Grafly, Jr.",1862,1929,,Sculptor,Male,American
Charles Henry Niehaus,1855,1935,,Sculptor,Male,American
Charles Hinman,1932,,"Modern Art, Minimalism",Painter,Male,American
Charles Houghton Howard,,,,,Male,
Charles Keck,1875,1951,,Sculptor,Male,American
Charles Logasa,1883,1936,Modern Art,Painter,Male,American
Charles Loring Elliott,1812,1868,,Painter,Male,American
Charles Melville Dewey,1849,1937,Tonalism,Painter,Male,American
Charles Oscar Haag,,,,,Male ,American
Charles Peale Polk,1767,1822,,Painter,Male,American
Charles Schreyvogel,1861,1812,,Painter,Male,American
Charles Sheeler,1883,1965,"Modern Art, Precisionism, American Modernism","Painter, Printmaker, Photographer",Male,American
Charles Sidney Raleigh,,,,,Male,American
Charles Sprague Pierce,,,,,Male,American
Charles Webster Hawthorne,1872,1930,Genre Painting,Painter,Male,American
Charles Whilbert White,,,,,Male,
Charles Willson Peale,1741,1827,,Painter,Male,American
Chauncey Bradley Ives,1810,1894,Neoclassicism,Sculptor,Male,American
Chauncey F. Ryder,,,,,Male,American
Cheri Samba,1956,,Contemporary Art,Painter,Male,
Chester Beach,1881,1956,,Sculptor,Male,American
Chester Harding,1792,1866,,Painter,Male,American
Childe Hassam,1859,1935,"American Impressionism, Landscape Painting",Painter,Male,American
Chinwe Chukwuogo-Roy,1952,2012,Contemporary Art,"Painter, Printmaker",Female,
Chris Burden,1946,,Contemporary Art,"Performance Art, Sculptor, Installation Art",Male,
Chris Marker,1921,2012,Modern Art,"Filmmaker, Photographer",Male,French
Chris Ofili,1968,,Contemporary Art,Painter,Male,
Christian Boltanski,1944,,Contemporary Art,"Sculptor, Photographer, Painter, Filmmaker",Male,
Christian Holstad,1972,,Contemporary Art,Conceptual Art,Male,
Christian Marclay,1955,,Contemporary Art,"Musician, Conceptual Art, Filmmaker, Video Art",Male,
Christine Borland,1965,,Contemporary Art,,Female,
Christo and Jeanne-Claude,1935,2009,Contemporary Art,Land Art,"Male, Female",
Chuck Close,1940,,Contemporary Art,Painter,Male,
Cildo Meireles,1948,,Contemporary Art,"Sculptor, Installation Art",Male,
Cindy Sherman,1954,,Contemporary Art,"Photographer, Performance Art",Female,
Claes Oldenburg,1929,,"Modern Art, Pop Art",Sculptor,Male,American
Clarence Holbrook Carter,1904,2000,Modern Art,Painter,Male,American
Claude Closky,1963,,Contemporary Art,,Male,
Claude Monet,1840,1926,"Modern Art, Impressionism",Painter,Male,French
Cleve Gray,1918,2004,"Modern Art, Abstract Expressionism, Color Field Painting, Lyrical Abstraction",Painter,Male,American
Clyfford Still,1904,1980,"Modern Art, Abstract Expressionism, Color Field Painting",Painter,Male,American
Conrad Marca-Relli,1913,2000,"Modern Art, Abstract Expressionism",Painter,Male,American
Constantin Brancusi,1876,1957,Modern Art,"Sculptor, Painter, Photographer",Male,Romanian
Constantine Andreou,1917,2007,Modern Art,"Painter, Sculptor",Male,Greek
Cornelia Parker,1956,,Contemporary Art,"Sculptor, Installation Art",Female,
Cy Twombly,1928,2011,Modern Art,"Painter, Sculptor",Male,American
Cyrus Edwin Dallin,1861,1944,,Sculptor,Male,American
Dado,1933,2010,Contemporary Art,Painter,Male,
Dale Nichols,1904,1995,Landscape Painting,"Painter, Sculptor, Printmaker",Male,American
Damien Hirst,1965,,Contemporary Art,Installation Art,Male,
Dan Christensen,1942,2007,"Modern Art, Abstract Expressionism, Post-Minimalism, Color Field Painting, Lyrical Abstraction",Painter,Male,American
Dan Flavin,1933,1996,Contemporary Art,Sculptor,Male,
Dan Graham,1942,,Contemporary Art,,Male,
Daniel Buren,1938,,"Modern Art, Minimalism","Sculptor, Installation Art",Male,French
Daniel Chester French,1850,1931,American Renaissance,Sculptor,Male,American
Daniel Dickinson,,,,,Male,American
Daniel Ferrara,,,,Architect,Male,
Daniel Garber,1880,1958,Landscape Painting,Painter,Male,American
Daniel Huntington,1816,1906,,Painter,Male,American
Dara Birnbaum,1946,,Contemporary Art,"Video Art, Installation Art",Female,
David Ascalon,1945,,Modern Art,Sculptor,Male,Israeli
David Blatherwick,1960,,Contemporary Art,"Painter, Video Art",Male,
David Bowie,1947,2016,,Musician,Male,British
David Burliuk,1882,1967,"Modern Art, Russian Futurism",Painter,Male,Ukranian
David Hall,1937,,Contemporary Art,"Video Art, Filmmaker",Male,
David Hockney,1937,,"Modern Art, Pop Art",Painter,Male,British
David Johnson,1827,1908,Hudson River School,Painter,Male,American
David LaChapelle,1963,,Contemporary Art,Photographer,Male,
David Park,1911,1960,"Modern Art, Bay Area Figurative Movement",Painter,Male,American
David Ross,,,,,Male,
David Salle,1952,,Contemporary Art,Painter,Male,
David Simpson,1928,,Modern Art,Painter,Male,American
David Smith,1906,1965,"Modern Art, Abstract Expressionism",Sculptor,Male,American
Deborah Butterfield,1949,,Contemporary Art,Sculptor,Female,
Demetrios Farmakopoulos,1919,1996,Modern Art,"Painter, Stage Designer",Male,Greek
Dennis Miller Bunker,1861,1890,American Impressionism,Painter,Male,American
Dennis Oppenheim,1938,2011,Contemporary Art,"Conceptual Art, Installation Art",Male,
Devajyoti Ray,1974,,"Modern Art, Pseudorealism",Installation Art,Male,Indian
Diana Thater,1962,,Contemporary Art,Video Art,Female,
Diane Arbus,1923,1971,Contemporary Art,Photographer,Female,
Diango Hernandez,1970,,Contemporary Art,Conceptual Art,Male,
Diego Rivera,1886,1957,Modern Art,"Painter, Muralist",Male,Mexican
Dieter Rams,1932,,,Industrial Designer,Male,German
Dieter Roth,1930,1998,Contemporary Art,"Sculptor, Installation Art",Male,
Do Ho Suh,1962,,Contemporary Art,"Installation Art, Sculptor",Male,Korean
Dominique Gonzalez-Foerster,1965,,Contemporary Art,"Filmmaker, Video Art",Male,
Don Gummer,1946,,Contemporary Art,Sculptor,Male,
Donald Deskey,1894,1989,,Industrial Designer,Male,American
Donald Judd,1928,1994,"Modern Art, Minimalism",Sculptor,Male,American
Dorothea Tanning,1910,2012,"Modern Art, Surrealism","Painter, Sculptor, Printmaker",Female,American
Douglas Donaldson,,,,,Male,
Douglas Gordon,1966,,Contemporary Art,"Video Art, Photographer",Male,
Duane Hanson,1925,1996,"Modern Art, Photorealism",Sculptor,Male,American
Dwight William Tryon,1849,1925,"Landscape Painting, Tonalism",Painter,Male,American
Eastman Johnson,1824,1906,,Painter,Male,American
Eberhard Bosslet,1953,,Contemporary Art,"Sculptor, Installation Art",Male,
Ed Paschke,1939,2004,Contemporary Art,Painter,Male,
Edgar Degas,1834,1917,"Modern Art, Impressionism","Painter, Sculptor",Male,French
Edith Woodman Burroughs,1871,1916,,Sculptor,Female,American
"Edmonia Lewis, Mary Edmonia Lewis",1844,1907,Neoclassicism,Sculptor,Female,American
Edmund Austin Stewardson,,,,,Male,American
Edmund C. Coates,,,,,Male,American
Edmund Charles Tarbell,1862,1938,American Impressionism,Painter,Male,American
Edouard Manet,1832,1883,"Modern Art, Realism, Impressionism",Painter,Male,French
Edouard Vuillard,1868,1940,Modern Art,"Painter, Printmaker",Male,French
Eduardo Kac,1962,,Contemporary Art,,Male,
Eduardo Paolozzi,1924,2005,"Modern Art, Pop Art","Sculptor, Collagist",Male,Scottish
Edvard Munch,1863,1944,"Modern Art, Expressionism, Symbolism","Painter, Printmaker",Male,Norwegian
Edward Allington,1951,,Contemporary Art,Sculptor,Male,
Edward Augustus Brackett,1818,1908,,Sculptor,Male,American
Edward Avedisian,1936,2007,"Modern Art, Color Field, Lyrical Abstraction",Painter,Male,American
Edward Clark Potter,1857,1923,,Sculptor,Male,American
Edward Everett Oakes,,,,,Male,
Edward Franceis McCartan,,,,,Male,
Edward Hicks,1780,1849,,Painter,Male,American
Edward Hopper,1882,1967,"Modern Art, American Realism",Painter,Male,American
Edward Kemeys,1843,1907,,Sculptor,Male,American
Edward Kienholz,1927,,Contemporary Art,Installation Art,Male,
Edward Lamson Henry,1841,1919,,Painter,Male,American
Edward Moran,1829,1901,Marine Painting,Painter,Male,American
Edward Ruscha,1937,,"Modern Art, Pop Art","Painter, Photographer, Printmaker",Male,American
Edward Sheffield Bartholomew,1822,1858,,Sculptor,Male,American
Edward Weston,1886,1958,,Photographer,Male,American
Edward Willis Redfield,1868,1965,"American Impressionism, Landscape Painting",Painter,Male,American
Edwin Austin Abbey,1852,1911,,"Painter, Muralist",Male,American
Edwin Howland Blashfield,1848,1936,,Painter,Male,American
Edwin Lord Weeks,1849,1903,,Painter,Male,American
Edwin White,1817,1877,,Painter,Male,American
Edwin Willard Deming,,,,,Male,American
Egon Schiele,1890,1918,"Modern Art, Expressionism","Painter, Printmaker",Male,Austrian
Eija-Liisa Ahtila,1959,,Contemporary Art,Video Art,Female,
El Lissitzky,1890,1941,"Modern Art, Suprematism","Graphic Designer, Printmaker, Photographer",Male,Russian
Elaine de Kooning,1918,1989,"Abstract Expressionism, Figurative Expressionism",Painter,Female,American
Elaine Hamilton,1920,2010,"Modern Art, Abstract Expressionism, Lyrical Abstraction","Painter, Muralist",Female,American
Elena Drobychevskaja,1968,,Modern Art,"Painter, Illustrator",Female,Belarusian
Elfriede Lohse-Wachtler,1899,1940,"Modern Art, Expressionism",Painter,Female,German
Eli Harvey,1860,1957,,"Painter, Sculptor",Male,American
Elias Goldberg,1886,1978,Modern Art,Painter,Male,American
Eliel Saarinen,1873,1950,Art Nouveau,Architect,Male,Finnish
Elihu Vedder,1836,1923,Symbolism,Painter,Male,American
Elizabeth Catlett,1915,2012,Modern Art,Sculptor,Female,American
Elizabeth Durack,1915,2000,Modern Art,"Painter, Mixed Media, Muralist",Female,Australian
Elizabeth Murray,1940,2007,Contemporary Art,Painter,Female,
Elizabeth Peyton,1965,,Contemporary Art,Painter,Female,
Ellen Gallagher,1965,,Contemporary Art,,Female,
Ellinor Aiki,1893,1969,Modern Art,Painter,Female,Estonian
Elliott Daingerfield,1859,1932,,Painter,Male,American
Ellsworth Kelly,1923,2015,"Modern Art, Minimalism, Color Field Painting","Painter, Sculptor, Printmaker",Male,American
Elsie Motz Lowdon,1883,1960,Genre Painting,Painter,Female,American
Emil Carlsen,1853,1932,Landscape Painting,Painter,Male,American
Emil Fuchs,1866,1929,,"Painter, Sculptor",Male,"Austrian, American"
Emil Nolde,1867,1956,"Modern Art, Expressionism, Die Brucke","Painter, Printmaker",Male,German
Emile Decoeur,,,,,Male,
Emile Galle,1846,1904,Art Nouveau,Glass Designer,Male,French
Emilio Hector Rodriquez,1950,,Contemporary Art,"Painter, Photographer",Male,
Emily Carr,1871,1945,"Modern Art, Post-Impressionism, Expressionism",Painter,Female,Canadian
"Emmanuel Leutze, Emanuel Leutze",1816,1868,Historical Painting,Painter,Male,"German, American"
Enoch Wood Perry,1831,1915,,Painter,Male,American
Enrique Tabara,1930,,Modern Art,Painter,Male,Ecuadorian
Erastus Dow Palmer,1817,1904,,Sculptor,,American
Erastus Salisbury Field,1805,1900,Folk Art,Painter,Male,American
Eric Fischl,1948,,Contemporary Art,"Painter, Sculptor, Printmaker",Male,
Ernest Blumenschein,1874,1960,"Taos Society of Artists, Modern Art",Painter,Male,American
Ernest Chaplet,1835,1909,,"Sculptor, Designer, Ceramicist",Male,French
Ernest Lawson,1873,1939,The Eight,Painter,Male,American
Ernst Ludwig Kirchner,1880,1938,"Modern Art, Expressionism, Fauvism","Painter, Printmaker",Male,German
Erwin Wurm,1954,,Contemporary Art,"Sculptor, Photographer",Male,
Eugene Higgins,,,,,Male,American
Eugene J. Martin,1938,2005,Modern Art,"Mixed Media, Collagist",Male,American
Eva Hesse,1936,1970,"Modern Art, Post-Minimalism",Sculptor,Female,American
Eva Moll,1961,,Contemporary Art,"Painter, Performance Art, Installation Art",Female,
Evelyn Beatrice Longman,1874,1954,,Sculptor,Female,American
Everett Shinn,1876,1953,"Modern Art, Realism",Painter,Male,American
F. G. W. Hunten,,,,,,American
"F. Luis Mora, Francis Luis Mora",1874,1940,Historical Painting,"Painter, Muralist",Male,American
Felix Arauz,1935,,Modern Art,Painter,Male,Ecuadorian
Felix Bracquemond,1833,1914,,"Painter, Printmaker",Male,French
Felix Gonzales-Torres,1957,1996,Contemporary Art,"Sculptor, Installation Art",Male,
Fernand Leger,1881,1955,"Modern Art, Cubism","Painter, Printmaker",Male,French
Fernando Botero,1932,,Modern Art,Painter,Male,Colombian
Fidelma Cadmus Kirstein,,,,,Female,
Fiona Banner,1966,,Contemporary Art,,Female,
"Fitz Henry Lane, Nathaniel Rogers Lane, Fitz Hugh Lane",1804,1865,Luminism,"Painter, Printmaker",Male,American
Florine Stettheimer,1871,1944,Modern Art,Painter,Female,American
Frances Grimes,1869,1963,,Sculptor,Female,American
Frances Hodgkins,1869,1947,Modern Art,Painter,Female,British
Francesca Woodman,1958,1981,Contemporary Art,Photographer,Female,
Francesco Clemente,1952,,Contemporary Art,Painter,Male,
Francis Alys,1959,,Contemporary Art,Conceptual Art,Male,
Francis Bacon,1909,1992,Modern Art,Painter,Male,British
Francis Coates Jones,1857,1932,,Painter,Male,American
Francis Frith,1822,1898,,Photographer,Male,British
Francis Picabia,1879,1953,"Modern Art, Cubism, Dadaism, Surrealism",Painter,Male,French
Francis Upritchard,1976,,Contemporary Art,Installation Art,Female,
Francis William Edmonds,1806,1863,,Painter,Male,American
Franco Mondini-Ruiz,1961,,Contemporary Art,"Painter, Sculptor, Performance Art, Installation Art",Male,
Francois Morellet,1926,,Contemporary Art,"Painter, Engraver, Sculptor",Male,
Frank Auerbach,1931,,Modern Art,Painter,Male,British
Frank Duveneck,1848,1919,,Painter,Male,American
Frank Edwin Elwell,1858,1922,,Sculptor,Male,American
Frank Lloyd Wright,1867,1959,,"Architect, Designer",Male,American
Frank Myers Boggs,,,,,Male,American
Frank Stella,1936,,"Modern Art, Minimalism, Geometric Abstraction, Lyrical Abstraction","Painter, Printmaker, Sculptor",Male,American
"Frank W. Benson, Frank Weston Benson",1862,1951,American Impressionism,Painter,Male,American
Frank Waller,,,,,Male,American
"Franklin Simmons, Franklin Bachelder Simmons",1839,1913,,Sculptor,Male,American
Frantisek Kupka,1871,1957,"Modern Art, Orphism",Painter,Male,Czech
Franz Kline,1910,1962,"Modern Art, Abstract Expressionism",Painter,Male,American
Franz Marc,1880,1916,"Modern Art, Expressionism","Painter, Printmaker",Male,German
Franz West,1947,2012,Contemporary Art,"Painter, Sculptor",Male,
Frederic Remington,1861,1909,Tonalism,"Painter, Sculptor",Male,American
Frederick Carl Frieseke,1874,1939,American Impressionism,Painter,Male,American
